Average reward self play,Average reward previous iterations,Average evaluation reward,Fraction of unique states,Experience buffer size,Mean loss,Data agent path,Average self play episode length
0.58,-1,0.41,1.0,18760,2.260533016964736e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_1.h5,187.6
0.55,-1,0.6,1.0,43090,1.838216068905389e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_1.h5,243.3
0.54,-1,0.58,1.0,63340,1.9137402365285967e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_1.h5,202.5
0.42,-1,0.61,1.0,80410,2.01267994617374e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_1.h5,170.7
0.6,-1,0.55,1.0,99342,2.023506439078453e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_1.h5,189.32
0.54,-1,0.59,1.0,116204,2.0996580379650616e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_1.h5,168.62
0.39,-1,0.56,1.0,135222,2.1009654289934763e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_1.h5,190.18
0.37,-1,0.64,1.0,154460,2.103987788686774e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_1.h5,192.38
0.53,-1,0.51,1.0,173074,2.1026633314110586e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_1.h5,186.14
0.52,-1,0.52,1.0,192266,2.087869145875021e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_1.h5,191.92
0.44,-1,0.57,1.0,214170,2.067807194628506e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_1.h5,219.04
0.49,-1,0.59,1.0,234760,2.0374874006317472e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_1.h5,205.9
0.47,-1,0.61,1.0,253764,2.0460191969712268e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_1.h5,190.04
0.54,-1,0.52,1.0,272110,2.065591733161576e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_1.h5,183.46
0.6,-1,0.67,1.0,290062,2.0639273205759102e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_1.h5,179.52
0.59,-1,0.42,1.0,310000,2.052260738115778e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,199.38
0.54,-1,0.65,1.0,21272,1.9705681084992808e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,212.72
0.48,-1,0.51,1.0,41304,2.0042429756745643e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,200.32
0.6,-1,0.42,1.0,62074,1.9852922323653364e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,207.7
0.58,-1,0.55,1.0,84978,1.923260592227928e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,229.04
0.62,-1,0.55,1.0,105156,1.9418110411847924e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,201.78
0.61,-1,0.51,1.0,124506,1.9685350703788404e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,193.5
0.58,-1,0.52,1.0,147074,1.9470402386763e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,225.68
0.51,-1,0.48,1.0,168552,1.9423126967433073e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,214.78
0.67,-1,0.43,1.0,189700,1.9424153354126487e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,211.48
0.61,-1,0.56,1.0,211530,1.94491329544224e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,218.3
0.54,-1,0.46,1.0,233028,1.9500611733333242e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,214.98
0.5,-1,0.49,1.0,18846,2.0174941909053622e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,188.46
0.47,-1,0.64,1.0,42366,1.7359636523134082e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,235.2
0.52,-1,0.51,1.0,64010,1.7349410001390961e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,216.44
0.52,-1,0.54,1.0,83184,1.8254449377034e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,191.74
0.41,-1,0.4,1.0,107080,1.779116386871146e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,238.96
0.52,-1,0.61,1.0,125728,1.845244043123236e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,186.48
0.54,-1,0.6,1.0,149890,1.8225289509721767e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,241.62
0.6,-1,0.58,1.0,170860,1.8408718785197262e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,209.7
0.56,-1,0.62,1.0,191502,1.8491015503060448e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,206.42
0.59,-1,0.44,1.0,214432,1.847940991529208e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,229.3
0.51,-1,0.61,1.0,217636,1.8350645418235126e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,220.5
0.55,-1,0.49,1.0,216350,1.868519469960096e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,222.34
0.61,-1,0.52,1.0,211308,1.941841479735678e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,166.02
0.57,-1,0.53,1.0,216650,1.879126012746912e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,245.16
0.49,-1,0.48,1.0,214810,1.914128322551171e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,220.56
0.56,-1,0.61,1.0,219954,1.8825407760928008e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,237.92
0.6,-1,0.39,1.0,218964,1.8933152938511464e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,231.72
0.51,-1,0.62,1.0,213824,1.9333593956384187e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,158.3
0.54,-1,0.5,1.0,216092,1.9025541740884582e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,229.1
0.47,-1,0.55,1.0,217866,1.8742823380551568e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,247.04
0.63,-1,0.48,1.0,219762,1.8523252130815563e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,239.46
0.56,-1,0.52,1.0,218992,1.8528416837276974e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,214.64
0.44,-1,0.45,1.0,223750,1.8164246028591163e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,213.6
0.59,-1,0.6,1.0,220816,1.8460166512215698e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,215.82
0.63,-1,0.45,1.0,220294,1.840945043075941e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,215.34
0.53,-1,0.51,1.0,219238,1.8590402895278896e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,227.36
0.52,-1,0.48,1.0,219452,1.829258876427277e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,233.86
0.63,-1,0.52,1.0,226884,1.7768337209318813e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,232.62
0.5,-1,0.52,1.0,226476,1.7974425702355918e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,225.02
0.51,-1,0.6,1.0,221788,1.8218852489885933e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,200.16
0.67,-1,0.49,1.0,221168,1.8241646632528068e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,233.26
0.45,-1,0.62,1.0,223260,1.7998335323539554e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,235.56
0.45,-1,0.45,1.0,224076,1.771898069251432e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,221.76
0.53,-1,0.54,1.0,226554,1.7689408495461372e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,240.6
0.56,-1,0.59,1.0,223142,1.801548985496946e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,181.22
0.64,-1,0.57,1.0,223402,1.7794282871389999e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,229.96
0.55,-1,0.54,1.0,221696,1.8212844360882103e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,216.8
0.59,-1,0.44,1.0,222254,1.799303399536193e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,238.2
0.65,-1,0.57,1.0,220318,1.8348709049137958e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,205.66
0.68,-1,0.66,1.0,220484,1.8632936806766213e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_2.h5,201.82
0.55,-1,0.52,1.0,221202,1.8668305213662536e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,240.44
0.55,-1,0.44,1.0,218238,1.91326407835432e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,205.92
0.44,-1,0.44,1.0,217922,1.922147675298364e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,218.6
0.52,-1,0.37,1.0,214646,1.9406227031349188e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,207.84
0.54,-1,0.38,1.0,217936,1.8881890810879418e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,214.12
0.52,-1,0.43,1.0,218426,1.874905633331076e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,234.86
0.4,-1,0.48,1.0,218742,1.8626417009746648e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,219.96
0.48,-1,0.46,1.0,219090,1.8412748360164424e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,241.68
0.45,-1,0.4,1.0,224160,1.7890328288384172e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,256.36
0.61,-1,0.43,1.0,224462,1.7743330730387004e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,204.84
0.45,-1,0.6,1.0,223932,1.7820143339516663e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,235.14
0.4,-1,0.39,1.0,223316,1.769172435280601e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,199.76
0.52,-1,0.41,1.0,222098,1.7824065229326233e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,206.42
0.46,-1,0.58,1.0,226072,1.7588590773866886e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,247.58
0.31,-1,0.47,1.0,225920,1.7806367484256324e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,212.6
0.58,-1,0.4,1.0,223314,1.8138848072773128e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,208.8
0.43,-1,0.48,1.0,228074,1.7471916153943768e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,267.56
0.55,-1,0.51,1.0,225928,1.790961158957895e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,220.22
0.63,-1,0.44,1.0,220918,1.814591230500037e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,206.26
0.53,-1,0.44,1.0,224498,1.7692660569661385e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,240.64
0.54,-1,0.48,1.0,222310,1.7756320727306458e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,213.26
0.53,-1,0.64,1.0,231008,1.703703276672906e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,286.74
0.59,-1,0.43,1.0,231664,1.686152734383883e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,212.98
0.48,-1,0.34,1.0,230292,1.6873135013665868e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,233.86
0.52,-1,0.44,1.0,233930,1.6479727442780891e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,248.98
0.64,-1,0.44,1.0,238122,1.6021275150217176e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,250.72
0.48,-1,0.41,1.0,234382,1.6612424413285831e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,230.16
0.4,-1,0.41,1.0,238802,1.632444276044258e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,264.42
0.47,-1,0.48,1.0,240550,1.6207088717203834e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,223.74
0.54,-1,0.46,1.0,237466,1.663136734668446e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,209.8
0.54,-1,0.38,1.0,241366,1.6348837750777815e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,252.26
0.4,-1,0.54,1.0,234448,1.6876576168220706e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,217.56
0.64,-1,0.37,1.0,235592,1.6807042386221442e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,224.42
0.46,-1,0.43,1.0,237440,1.652980015315869e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,252.34
0.56,-1,0.24,1.0,232916,1.6969197057225276e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,203.74
0.52,-1,0.59,1.0,231644,1.7001875077179525e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,238.0
0.52,-1,0.32,1.0,231360,1.7029590817790085e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,227.32
0.53,-1,0.39,1.0,226404,1.7412021305655997e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,214.86
0.52,-1,0.36,1.0,228278,1.7364796221782384e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,242.48
0.59,-1,0.54,1.0,227136,1.7485807626401652e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,198.38
0.58,-1,0.5,1.0,223512,1.787235577152161e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,216.02
0.46,-1,0.46,1.0,223260,1.7982884587032085e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,215.04
0.5,-1,0.47,1.0,222844,1.8011631598919887e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,220.26
0.47,-1,0.51,1.0,223862,1.8071924545308067e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,262.52
0.5,-1,0.34,1.0,228452,1.7776882405721782e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,249.64
0.43,-1,0.47,1.0,226854,1.8080254321966485e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,222.02
0.57,-1,0.43,1.0,225168,1.8109251222523487e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,210.46
0.44,-1,0.5,1.0,227400,1.7845362522474205e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,237.18
0.49,-1,0.46,1.0,225558,1.787140532105696e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,224.06
0.57,-1,0.38,1.0,229984,1.7440078012902832e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,242.64
0.38,-1,0.47,1.0,230458,1.7307237896984475e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,220.76
0.48,-1,0.41,1.0,231088,1.705532618628683e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,221.34
0.55,-1,0.57,1.0,234356,1.6834316095055104e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,252.94
0.55,-1,0.4,1.0,230622,1.7144155581991188e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,225.18
0.53,-1,0.5,1.0,228596,1.7137078841695288e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,229.38
0.51,-1,0.58,1.0,229092,1.7176529380312359e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,226.98
0.55,-1,0.43,1.0,231276,1.7112397230723756e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,232.3
0.61,-1,0.52,1.0,228498,1.7268918152710861e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,209.4
0.52,-1,0.56,1.0,230708,1.69984037821317e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,246.16
0.59,-1,0.38,1.0,228254,1.7122044388407654e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,218.1
0.6,-1,0.43,1.0,228744,1.6979699555606012e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,225.66
0.58,-1,0.36,1.0,232050,1.692020260430411e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,254.4
0.55,-1,0.48,1.0,230196,1.7163263756800942e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,234.4
0.6,-1,0.5,1.0,230176,1.7062710664525082e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,224.98
0.51,-1,0.47,1.0,229276,1.7155449013810332e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,220.38
0.58,-1,0.41,1.0,231258,1.703575336779756e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,246.8
0.53,-1,0.42,1.0,230054,1.6895091445323363e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,220.26
0.58,-1,0.5,1.0,232556,1.6787808761128985e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,234.42
0.45,-1,0.47,1.0,227286,1.7300449394634045e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,193.46
0.41,-1,0.41,1.0,227068,1.732157887054514e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,215.92
0.54,-1,0.29,1.0,226930,1.7465944440209197e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,224.28
0.6,-1,0.52,1.0,221368,1.7890341001673267e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,198.78
0.66,-1,0.49,1.0,215612,1.8379485332775617e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,176.84
0.56,-1,0.34,1.0,212804,1.8671530344384342e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,196.9
0.57,-1,0.44,1.0,213202,1.8708728834698944e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,224.36
0.43,-1,0.47,1.0,210826,1.8691215583673687e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,223.04
0.61,-1,0.5,1.0,210220,1.8860575533537518e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,214.2
0.4,-1,0.47,1.0,208366,1.911106676368446e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,215.88
0.56,-1,0.47,1.0,210966,1.8800887697053688e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,219.46
0.46,-1,0.5,1.0,210456,1.8823762115391288e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,210.82
0.5,-1,0.48,1.0,213550,1.8457663125936038e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,255.22
0.57,-1,0.57,1.0,214040,1.866989099883968e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,203.68
0.48,-1,0.48,1.0,218894,1.817421112186763e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,225.38
0.5,-1,0.46,1.0,218072,1.821583721822568e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,188.68
0.48,-1,0.45,1.0,220772,1.7855925118549404e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,251.36
0.65,-1,0.5,1.0,219568,1.800345163096101e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,211.0
0.56,-1,0.46,1.0,222226,1.7896098066701858e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,240.78
0.49,-1,0.54,1.0,221306,1.7772657033108436e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,206.68
0.5,-1,0.4,1.0,222974,1.7689158451051762e-06,/home/tom/Kaggle/Halite/Logic/../Agents/Initial debug pool/iteration_3.h5,236.14
