Time stamp,Reward raine_force_best_agent
2020-09-23 11:12:49.953490,0.62
2020-09-23 11:21:36.765023,0.52
2020-09-23 11:30:38.062045,0.24
2020-09-23 11:40:21.546199,0.57
2020-09-23 11:49:23.952653,0.52
2020-09-23 11:58:30.793524,0.38
2020-09-23 12:06:54.006954,0.52
2020-09-23 12:15:46.428931,0.67
2020-09-23 12:24:52.523056,0.48
2020-09-23 12:35:18.281543,0.52
2020-09-23 12:45:55.218575,0.48
2020-09-23 12:56:59.600059,0.48
2020-09-23 13:07:42.689337,0.57
2020-09-23 13:17:54.812494,0.52
2020-09-23 13:26:46.688608,0.67
2020-09-23 13:35:17.321283,0.71
